x,class,fold
computational analysis of fluid flows external boundaries interior layers and nonlinear waves,math,val
estimation of a model of community choice and public goods provision in system of local jurisdictions,economics,val
active fluorescence assays of phytoplankton physiological state population and individual cell measurements,oceanography,val
seismological and structural evolution of strike-slip faults,geophysics,val
"nonlinear problems in fluid mechanics, meteorology & oceanography",math,val
three-dimensional high resolution upper mantle shear wave velocity structure,geophysics,val
"mathematical sciences ""statistical computation and computational geometry""",statistics,val
participation and social capital creation,sociology,val
basic in information privacy,software,val
us globec maintenance of pseudocalanus spp. populations in georges bank,oceanography,val
origin of psd behavior magnetic measurements and domain observations of single particles,geophysics,val
"forecasts and forecasting models prediction, evaluation, estimation, and selection using the relevant loss function",economics,val
the effects of mexican immigration on mexican american ethnicity,sociology,val
island biogeography theory and restoration the role of tree islands as regeneration foci in the rehabilitation of abandoned pastures,ecology,val
"specialized, fully declarative logic programming languages for expert systems and databases",data,val
population genetics of brown tide blooms,oceanography,val
phytoplankton populations in the equatorial pacific distributions and growth rates from individual cell properties,oceanography,val
competitive ability of clonal plants--the roles of clonal integration and ramet aggregation in structuring plant communities,ecology,val
international trade policy in the age of globalization,sociology,val
labor market compensation and economic behavior an experimental examination of team production and tournaments,economics,val
reflexion models bridging the gap between source and high-level models,software,val
bandwidth allocation and traffic control in atm networks,networking,val
molecular analysis of programmed death in neurons,neuroscience,val
mathematical sciences analytical approaches to singular perturbation problems of significance to applications,math,val
promise a novel survivability framework for high-speed networks,networking,val
"reproductive ecology in the blue crab, callinectes sapidus",oceanography,val
"""the impact of education finance equalization on students, teachers, schools, and state governments""",economics,val
the 37th brookhaven symposium in biology primary productivity and biogeochemical cycles in the sea,oceanography,val
normal mode studies of even and odd degree elastic and anelastic structure of the mantle and core,geophysics,val
